_id,scanType,SSID,isAttendance,loc,name,round,roundType,scanTime,timeGap,user,company,createdAt,extraInfo.url
5e10e43ec6113b0013eb21d0,regular,1933 Tattoo Studio(81.0),FALSE,"c(-26.1940649, 28.0316105)",Upper Parking North West Corner_Head office,0,circular,2020-01-04T19:15:07Z,1hr 2min,5b3044580f860900136342fa,595d047eae9b350004bd44fc,2020-01-04T19:15:10Z,
5e10e450c6113b0013eb21d1,regular,NA(81.0),FALSE,"c(6.5312842, 3.3670765)",NOHI_Pavilion_Admin Annex Block,7,circular,2020-01-04T19:15:23Z,1hr 48min,5ce822ea3581bf0013b44644,5ce8224f3581bf0013b44639,2020-01-04T19:15:28Z,
5e10e457c6113b0013eb21d8,regular,NA(35.0),FALSE,"c(-26.5406816, 28.3300912)",Wall Fencing,8,circular,2020-01-04T19:15:28Z,0hr 55min,592e97beb1bc36000430b259,592e9549b1bc36000430b252,2020-01-04T19:15:35Z,
5e10e4ddc6113b0013eb21e3,regular,VODACOM-B315-B105(64.0),FALSE,"c(-26.4455968, 28.4459986)",Front of office,7,circular,2020-01-04T19:15:38Z,1hr 2min,592e96d4b1bc36000430b255,592e9549b1bc36000430b252,2020-01-04T19:17:49Z,
5e10e4abc6113b0013eb21e0,regular,NA(93.0),FALSE,"c(-26.2678229, 28.4716149)",Tank 2,8,circular,2020-01-04T19:15:50Z,1hr 0min,592e981eb1bc36000430b25b,592e9549b1bc36000430b252,2020-01-04T19:16:59Z,
5e10e470c6113b0013eb21da,regular,NOH MAIN PHARMACY(81.0),FALSE,"c(6.5312784, 3.3713779)",NOHI_New Admin Block,7,circular,2020-01-04T19:15:56Z,1hr 49min,5ce822ea3581bf0013b44644,5ce8224f3581bf0013b44639,2020-01-04T19:16:00Z,
5e10f304c6113b0013eb2289,regular,NA(58.999996),FALSE,"c(-26.1378092, 28.4645133)",Control Room,7,circular,2020-01-04T19:16:02Z,0hr 54min,592e97f2b1bc36000430b25a,592e9549b1bc36000430b252,2020-01-04T20:18:12Z,
5e10f31ec6113b0013eb228e,regular,NA(58.999996),FALSE,"c(-26.1378092, 28.4645133)",Control Room,7,circular,2020-01-04T19:16:02Z,0hr 54min,592e97f2b1bc36000430b25a,592e9549b1bc36000430b252,2020-01-04T20:18:38Z,
5e10e491c6113b0013eb21dd,regular,NA(84.0),FALSE,"c(-26.3264033, 28.1666267)",Section 6,10,circular,2020-01-04T19:16:16Z,0hr 49min,592e9908b1bc36000430b260,592e9549b1bc36000430b252,2020-01-04T19:16:33Z,
5e10e507c6113b0013eb21e7,regular,VODACOM-B315-B105(63.0),FALSE,"c(-26.4455968, 28.4459986)",Back of Office,7,circular,2020-01-04T19:16:24Z,1hr 2min,592e96d4b1bc36000430b255,592e9549b1bc36000430b252,2020-01-04T19:18:31Z,
